requested_work_id,award_position,award_openalex_id,award_display_name,funder_award_id,funder_openalex_id,funder_display_name,award_doi
W4389494263,10,G8152425740,,DMR-2128556,F4320313883,National High Magnetic Field Laboratory,
W4389494263,11,G8618556185,,DMR-2128556,F4320306084,U.S. Department of Energy,
W4413506887,1,G106785709,,P41EB- 015903,F4320337363,National Institute of Biomedical Imaging and Bioengineering,
W4413506887,2,G1559467220,,R21 EY031895,F4320337350,National Eye Institute,
W4380876607,1,G1146855974,,KA2401032,F4320337511,High Energy Physics,
W4380876607,2,G124228508,,KA2401032,F4320306084,U.S. Department of Energy,
W4380876607,3,G2676722403,,80NM0018D0004,F4320332375,Jet Propulsion Laboratory,
W4380876607,4,G3648211085,,80NM0018D0004,F4320306101,National Aeronautics and Space Administration,
W4382463413,1,G1569830949,Nano-mechanical quantum photonic circuits,949043,F4320338335,H2020 European Research Council,
W4382463413,2,G3729718828,,DNRF139,F4320320943,Danmarks Grundforskningsfond,
W4382463413,3,G3895583001,,Center of Excellence Hy-Q DNRF139,F4320320943,Danmarks Grundforskningsfond,
W4382463413,4,G434337789,,HORIZON2020,F4320320300,European Commission,
W4382463413,5,G542354333,,949043,F4320320300,European Commission,
W4382463413,6,G6165621683,,9090-00031B,F4320313796,Innovationsfonden,
W4382463413,7,G71801970,,TRR 160,F4320320879,Deutsche Forschungsgemeinschaft,
W4382463413,8,G7597656330,Augerprozesse in selbstorganisierten Quantenpunkten,383065199,F4320320879,Deutsche Forschungsgemeinschaft,
W4382463413,9,G7649457221,,TRR 160/2,F4320320879,Deutsche Forschungsgemeinschaft,
W4382463413,10,G777261295,,16KISQ009,F4320321114,Bundesministerium für Bildung und Forschung,
W4382463413,11,G8385092940,,Project B04,F4320320879,Deutsche Forschungsgemeinschaft,
W4387253080,1,G11630931,,DENA0003525,F4320306084,U.S. Department of Energy,
W4387253080,2,G138837881,,DE-NA-0003525,F4320306101,National Aeronautics and Space Administration,
W4387253080,3,G1639952346,,1231319,F4320337367,Division of Materials Research,
W4387253080,4,G280414146,,DE-NA0003525,F4320332359,Office of Science,
W4387253080,5,G288067973,,0003525,F4320306084,U.S. Department of Energy,
W4387253080,6,G3311699245,Center for Integrated Quantum Materials,1231319,F4320306076,National Science Foundation,
W4387253080,7,G413247060,,"DE‐NA,0003525",F4320338291,Sandia National Laboratories,
W4387253080,8,G6075373719,,DMR-1231319,F4320306084,U.S. Department of Energy,
W4387253080,9,G6338696783,,DE‐NA0003525,F4320306076,National Science Foundation,
W4387253080,10,G7576470222,NSF Engineering Research Center for Quantum Networks (CQN),1941583,F4320306076,National Science Foundation,
W4387253080,11,G855168022,,DENA-0003525,F4320332369,National Nuclear Security Administration,
W4387253080,12,G8640644076,,DMR-12313 19,F4320306076,National Science Foundation,
W4387253080,13,G872931124,,DE‐NA0003525,F4320315466,Center for Integrated Nanotechnologies,
W4387253080,14,G875209366,,DMR-1231319,F4320337367,Division of Materials Research,
