"ua_author_names","n"
"Anne E. Boustead",3
"Anne E. Cress",3
"Anne W. Alexandrov",3
"Anne‐Lise Boyer",3
"Anne‐Michelle Ruha",3
"Annyun Das",3
"Anthony Conforti",3
"Anutr Sivakoses",3
"Atkin D. Hyatt",3
"Atsushi Ishii",3
"B Meyer",3
"B. M. Meyer",3
"B. S. Prince",3
"Barbara B. Brewer",3
"Ben N. Stansfield",3
"Ben W. Van Landuyt",3
"Benjamin J. Weiner",3
"Benoît Revil-Baudard",3
"Bernhard M. Meyer",3
"Beth Tellman",3
"Bhavika Therani",3
"Bianca M. Souza-Chaves",3
"Bindu Poudel",3
"Bingxu Luo",3
"Brad Boyle",3
"Brenton Stewart",3
"Brett Blum",3
"Brian Dodge",3
"Brian Hallmark",3
"Brian Maitner",3
"Brian R. Blais",3
"Britt DK Gratreak",3
"Brittany Miles",3
"Bryce R. Michael",3
"Buell T. Jannuzi",3
"C.K. Kwoh",3
"Cameron Jeffers",3
"Carissa DiCindio",3
"Carlos Zgheib",3
"Carol C. Gregorio",3
"Carolyn Barnett",3
"Carolyn C. Hokin",3
"Carrie Luu",3
"Cassidy Soloff",3
"Chance Lawrence",3
"Chandler Noyes",3
"Channah Rock",3
"Charles A. Condos",3
"Charlotte Pearson",3
"Chaur‐Dong Hsu",3
"Chelsey Young",3
"Cherry Barragan",3
"Chi Zhou",3
"Chidi Ugonna",3
"Chris C. Lim",3
"Christina Hoyer‐Kimura",3
"Christopher F. Kane",3
"Christopher J. Arellano",3
"Christopher Penton",3
"Christos N. Gagatsos",3
"Clarissa M. DeLeon",3
"Cleophas Achisa Mecha",3
"Clément Goubert",3
